AcceptedCmp1,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Education,Income,Kidhome,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Days_Customer,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
0,0,0,0,40,1,16005,1,20,3,47,2,30,1,1,3,2,2,8,69,0,2745,1,0,0,0
0,0,0,0,55,2,58692,0,4,11,11,61,7,301,2,1,4,8,7,21,1,2145,1,0,0,0
0,0,0,0,50,2,20587,1,4,3,9,6,1,2,1,1,2,1,7,39,0,2110,0,1,0,0
0,0,0,0,66,3,62637,0,4,12,5,48,12,104,2,1,5,2,2,76,1,2181,0,0,0,0
0,0,0,0,54,3,29435,1,4,3,64,37,2,70,2,4,2,3,9,11,1,2753,0,0,0,0
0,0,0,0,46,2,19346,1,3,0,2,9,6,2,0,1,3,1,8,26,0,2211,0,0,0,0
0,0,0,0,49,2,35788,1,3,2,4,11,1,23,0,2,3,2,6,34,1,2218,1,0,0,0
0,0,0,0,52,2,36997,1,8,4,27,12,0,43,1,5,4,2,5,72,1,2574,0,0,0,0
0,0,0,0,63,2,23539,0,16,24,25,11,1,4,0,1,4,2,6,13,0,2182,1,0,0,0
0,0,1,1,47,2,65333,0,0,7,30,92,15,654,4,7,8,9,6,58,1,2224,0,1,0,0
0,0,0,1,63,2,78499,0,47,72,97,170,36,912,3,1,4,11,4,12,0,2279,0,1,0,0
0,0,0,0,49,4,29732,1,0,0,4,8,1,25,0,1,2,2,9,23,0,2157,0,0,1,0
0,0,0,0,60,3,41275,1,0,4,9,22,2,24,1,4,3,3,5,33,2,2158,0,0,1,0
0,0,0,0,47,4,63516,1,15,11,5,114,14,141,1,4,7,4,5,30,1,2419,0,0,1,0
0,0,0,0,58,4,42769,0,3,0,0,13,1,71,1,2,4,1,4,15,1,2321,1,0,0,0
0,0,0,0,62,3,49572,1,0,1,1,16,1,35,0,2,3,2,7,25,1,2257,1,0,0,0
1,0,0,0,48,2,69209,0,229,32,128,849,48,496,3,2,6,5,4,4,0,2711,1,0,0,0
0,0,0,0,44,2,17148,1,13,9,16,11,10,9,1,4,3,3,8,80,0,2213,1,0,0,0
0,1,0,0,51,2,40590,1,6,0,37,50,11,154,4,5,3,3,6,30,1,2331,0,0,0,1
0,0,0,0,44,3,30560,1,4,1,7,5,5,9,0,1,3,1,7,6,0,2428,0,0,1,0
0,0,0,0,37,0,32146,1,4,3,3,23,7,26,0,2,4,2,6,16,0,2109,1,0,0,0
0,0,0,0,56,0,41713,1,10,8,25,44,10,77,1,5,4,3,6,57,1,2122,0,0,0,0
0,0,0,0,45,3,34176,0,4,2,2,7,2,11,0,1,3,1,3,9,1,2219,0,0,1,0
0,0,1,0,65,4,58482,0,19,7,7,115,7,576,4,2,9,7,6,59,1,2170,1,0,0,0
0,0,0,0,55,2,59686,0,34,15,5,89,42,89,1,1,6,4,4,78,1,2216,0,1,0,0
0,0,0,0,56,4,60896,0,60,30,153,399,46,1013,10,3,4,9,6,90,1,2687,1,0,0,0
0,0,0,0,40,2,62994,1,4,12,12,48,12,224,2,1,4,6,6,74,0,2178,0,0,1,0
0,0,0,0,63,2,47320,0,50,19,19,111,15,200,1,6,8,5,6,10,1,2393,0,0,1,0
1,0,0,0,71,0,74859,0,133,73,73,614,102,570,5,1,11,6,3,63,0,2452,0,0,0,1
0,0,0,0,28,1,15253,1,8,3,13,3,1,1,0,2,3,1,7,13,0,2305,0,1,0,0
0,0,0,0,46,4,31560,1,4,1,7,20,0,62,1,2,3,2,8,98,0,2431,0,1,0,0
0,0,0,0,66,2,72071,0,150,69,150,300,138,531,4,3,8,5,2,4,1,2561,0,0,0,0
1,1,0,1,30,3,91172,0,0,28,56,818,28,162,3,0,7,4,3,94,0,2520,0,1,0,0
1,1,0,1,36,2,90000,0,94,144,241,133,192,675,8,1,5,4,1,91,0,2249,1,0,0,0
0,0,0,0,39,2,41967,1,0,4,15,10,2,23,0,1,3,1,4,66,1,2279,0,1,0,0
0,0,1,0,55,2,69263,0,13,5,21,32,5,492,1,1,7,9,6,14,1,2177,0,1,0,0
0,0,1,1,50,0,65706,0,13,10,129,129,0,918,3,1,12,11,7,77,0,2427,0,0,0,0
0,0,0,0,45,2,60934,0,192,155,54,155,93,224,4,2,11,6,4,41,1,2224,0,0,1,0
0,0,0,0,69,2,71965,0,50,19,248,286,38,572,3,3,5,6,3,21,1,2396,1,0,0,0
1,0,1,0,65,2,65210,0,0,0,28,70,7,626,3,2,8,9,6,25,1,2172,1,0,0,0
1,0,0,1,45,4,79174,0,193,37,129,518,92,1074,6,1,7,5,2,2,0,2595,1,0,0,0
0,0,0,0,53,3,81380,0,224,68,103,689,68,741,2,1,10,4,2,51,0,2615,0,0,0,0
0,1,0,0,49,2,52914,0,30,10,227,44,10,254,3,2,3,7,7,32,1,2599,1,0,0,0
0,0,0,0,65,2,38946,0,6,6,41,82,6,116,1,2,6,3,5,84,1,2309,0,0,1,0
0,0,0,0,46,2,26067,1,0,2,12,18,2,22,0,3,3,3,8,49,0,2298,1,0,0,0
0,0,1,0,48,4,44325,0,0,0,5,21,0,516,2,4,7,8,8,69,1,2540,1,0,0,0
0,0,0,0,56,2,42523,0,3,36,35,11,26,14,1,1,4,1,2,96,0,2128,1,0,0,0
0,0,0,0,42,1,26487,1,12,8,23,10,14,2,1,3,3,2,5,23,0,2466,0,1,0,0
0,0,0,0,63,0,53233,0,3,0,0,9,0,28,0,1,3,1,4,18,1,2164,1,0,0,0
0,0,1,0,60,2,67716,0,62,142,56,217,9,530,4,4,13,7,5,8,1,2596,1,0,0,0
0,0,1,0,48,3,76234,0,130,50,41,167,0,519,3,1,11,8,3,21,1,2204,1,0,0,0
0,0,0,1,64,4,84117,0,59,76,26,749,45,611,10,1,6,7,2,60,0,2110,1,0,0,0
0,0,0,0,63,3,65487,0,199,67,163,500,0,240,5,3,6,3,2,48,0,2231,0,0,1,0
0,0,0,0,48,1,25224,1,11,9,8,12,2,4,1,2,3,1,3,36,0,2166,1,0,0,0
0,0,0,0,37,3,89616,0,145,47,15,655,111,671,5,1,12,7,2,36,0,2550,0,1,0,0
0,0,0,0,49,2,40851,1,0,1,24,7,4,23,1,1,2,1,7,63,1,2554,0,0,0,0
0,0,0,0,73,2,27469,0,3,1,0,2,2,9,0,1,3,0,6,2,0,2757,1,0,0,0
1,1,0,0,63,0,82347,0,202,54,63,845,133,556,7,1,10,7,3,38,0,2661,1,0,0,0
0,1,0,0,63,2,73803,0,52,80,174,363,26,833,5,2,6,9,6,61,1,2758,1,0,0,0
0,0,0,0,68,3,8820,1,4,0,4,13,2,12,0,4,3,3,8,52,1,2525,0,1,0,0
0,0,0,0,46,2,43322,0,10,7,18,48,2,56,0,1,4,3,7,25,0,2130,0,1,0,0
0,1,0,0,47,2,55593,0,11,8,106,124,4,293,6,2,3,6,6,63,1,2373,0,0,1,0
0,1,0,0,66,2,50501,1,13,0,152,38,0,297,4,7,4,5,6,10,1,2437,1,0,0,0
0,0,0,0,45,2,37085,1,2,1,3,16,0,39,0,4,3,3,8,65,1,2064,1,0,0,0
0,0,0,0,30,1,16185,1,21,11,45,16,8,5,2,2,2,2,8,71,0,2389,0,1,0,0
0,0,0,0,51,2,57731,0,65,21,44,300,8,266,8,4,6,8,6,0,1,2644,0,1,0,0
0,0,0,0,42,2,73807,0,71,124,54,156,78,366,5,2,11,5,2,88,1,2604,1,0,0,0
0,0,0,0,30,2,18929,0,23,0,18,8,4,32,0,1,4,1,6,15,0,2559,1,0,0,0
0,0,0,0,52,2,35893,1,0,0,18,23,0,158,1,6,5,3,8,80,1,2683,0,1,0,0
0,0,0,0,40,2,61014,0,182,129,29,495,43,269,3,4,4,9,7,17,1,2748,1,0,0,0
0,0,1,0,66,2,32144,1,0,0,3,10,0,41,1,4,3,2,7,76,1,2159,0,0,1,0
0,0,0,0,57,1,14918,0,15,3,15,3,4,3,0,1,3,1,6,52,1,2630,0,0,1,0
0,0,0,0,57,2,45146,1,0,0,15,5,0,33,1,2,2,1,4,28,1,2410,0,0,0,0
0,0,0,0,65,0,41769,0,32,29,27,131,0,302,1,6,7,8,8,31,1,2562,0,0,0,0
0,0,0,0,39,2,88325,0,93,71,53,860,27,519,2,1,9,6,2,42,0,2205,0,0,1,0
0,0,0,0,70,3,38054,1,2,2,0,17,1,23,0,2,3,2,7,24,1,2120,0,0,0,0
0,0,0,0,25,0,80617,0,72,51,32,631,55,594,6,1,8,4,2,42,0,2686,0,1,0,0
0,0,0,0,44,2,5305,0,1,4,5,7,3,12,0,0,0,1,13,12,1,2395,1,0,0,0
0,0,0,0,66,2,36807,1,0,2,5,5,0,4,0,1,2,1,6,88,1,2617,0,0,1,0
0,0,0,0,37,2,28427,1,3,3,6,19,3,18,0,2,3,2,8,67,0,2526,0,0,1,0
0,0,0,0,72,4,82032,0,149,194,57,377,125,332,6,0,7,4,1,54,0,2146,0,0,0,1
0,0,0,0,42,2,22775,1,0,1,1,8,0,5,0,1,2,1,8,40,0,2436,0,0,1,0
0,0,0,0,35,3,40101,1,26,3,62,129,24,171,1,4,6,6,7,73,0,2684,0,0,1,0
0,0,0,0,41,2,58025,0,11,31,22,88,48,270,2,3,10,3,4,81,1,2276,1,0,0,0
0,0,1,1,38,3,75777,0,69,26,80,538,13,712,6,1,11,3,1,12,0,2421,0,1,0,0
0,0,0,0,41,0,7500,1,3,8,21,11,8,2,2,4,2,3,7,7,0,2479,0,0,1,0
0,0,0,0,57,3,33562,1,0,12,3,12,3,21,0,3,4,2,4,33,2,2065,1,0,0,0
0,1,0,0,50,4,57642,0,8,6,27,58,0,580,6,3,6,7,4,24,1,2232,0,1,0,0
0,0,0,0,52,2,58554,1,38,24,88,68,0,368,2,6,6,8,7,55,1,2702,0,0,1,0
0,0,0,0,41,2,63777,1,15,5,53,106,17,457,1,8,6,11,8,87,1,2523,1,0,0,0
0,0,0,0,58,2,57967,0,4,7,91,137,0,229,2,5,8,4,5,39,1,2544,0,1,0,0
0,0,0,0,48,2,24434,2,20,2,17,8,0,3,1,2,2,2,7,9,0,2103,1,0,0,0
0,1,0,0,36,2,11012,1,7,3,23,26,1,24,1,3,2,3,9,82,0,2531,0,1,0,0
0,0,0,0,50,3,44802,0,13,10,20,143,10,853,4,2,12,9,8,71,0,2738,0,1,0,0
0,0,0,0,34,2,26816,0,3,1,3,6,4,5,0,1,3,0,4,50,0,2742,0,1,0,0
0,0,0,0,43,2,666666,1,8,14,12,18,1,9,1,4,3,3,6,23,0,2453,0,0,1,0
0,0,0,0,46,2,34421,1,6,3,9,7,2,3,0,1,2,1,7,81,0,2424,1,0,0,0
0,0,0,0,53,2,61223,0,42,43,247,182,118,709,3,2,4,9,5,46,1,2442,1,0,0,0
1,0,0,0,74,4,64014,2,0,0,8,30,0,406,2,7,5,8,7,56,1,2080,0,0,1,0
0,0,1,0,39,2,56981,0,32,48,24,217,12,908,3,1,13,2,6,91,0,2216,0,0,0,0
0,0,0,0,64,3,69245,0,80,30,61,214,30,428,5,2,10,6,3,8,1,2217,0,0,1,0
0,0,0,0,66,4,52869,1,2,3,21,61,1,84,1,3,4,3,7,40,1,2683,1,0,0,0
